Nama Outlet,alamat,Kelas RS,Direktur,Alamat,Kode POS,MR,Kabupaten / Kota,, ,,,
RSKB Diponegoro 21,Tempat,C,"dr. Endah Prasetyowati, MPH.",Jl. Diponegoro No. 21 Klaten,3310405,NINTO,KAB. KLATEN,,,"ASY-SYIFA, RS",Tempat,BAYU
RS PKU Muh. Pedan Klaten,Tempat,D,"dr. Dewi Susilowati, MMR","Jl. Pedan - Cawas Km. 1 Ngrendeng, RT 01/05 Sobayan, Pedan Klaten",3310420,NINTO,KAB. KLATEN,,,"BANYU BENING,RSI",Tempat,BAYU
RSUD Pandan Arang Boyolali,Tempat,C,dr. Siti Nur Rokhmah Hidayati,Jl. Kantil No. 14 Boyolali,3309015,REZA,KAB. BOYOLALI,,,"KASIH IBU SEHATI, KLINIK UTAMA",Tempat,BAYU
RSUD Simo,Tempat,D,"dr. FX. Kristandiyoko, MPH","Jl. Kebon Ijo, Simo Boyolali",3309107,REZA,KAB. BOYOLALI,,,RS Umum Kasih Ibu,Tempat,BAYU
RSU Waras Wiris,Tempat,D,dr. Puji Astuti,Jl. Raya Karanggede - Gemolong Km. 13 Andong Kab.Boyolali,3309096,REZA,KAB. BOYOLALI,,,"MARGAHUSADA SURAKARTA, APT",Tempat,BAYU
RS Umi Barokah,Tempat,D,"dr. Dwi Rahkmawati, Sp.KK",Jl. Prof. Soeharso No. 6 Tegalrejo Boyolali,3309074,REZA,KAB. BOYOLALI,,,"MOMMIES, KLINIK",Tempat,BAYU
"RS PKU Aisyiyah
 Boyolali",Tempat,D,"dr. H. Gazali Haeruddin,Sp.B FInaCS",Jl. Pasar Sapi Singkil Karanggeneng Boyolali,3309063,REZA,KAB. BOYOLALI,,,"NUR HAYATI, APT.",Tempat,BAYU
RS Karanggede Sisma Medika,Tempat,D,"drg. Ermi Nuryanti, MARS",Jl. Karanggede - Solo Km. 1 Karangede Boyolali,3309085,REZA,KAB. BOYOLALI,,,"PADMA, APT.",Tempat,BAYU
RSU Hidayah,Tempat,D,"dr. Ida Wulandari, MM",Kragilan Mojosongo Boyolai,3309129,REZA,KAB. BOYOLALI,,,"SEJAGAT, APT",Tempat,BAYU
RSU Natalia Boyolali,Tempat,D,dr. Yulika Putri Dasa Panjuis,Jl. Teratai No. 15 Pulisen Boyolali,3309132,REZA,KAB. BOYOLALI,,,"SOELASTRI , RS GIGI & MULUT",Tempat,BAYU
RSU Indriati Boyolali,Tempat,D,"dr. Bambang Soegianto, MM, MA",Jl. Raya Boyolali - Kartasura,3309135,REZA,KAB. BOYOLALI,,,"AISYIYAH KLATEN, RSU",Tempat,NINTO
RS PKU Muh Delanggu,Tempat,D,"dr. Muhamad Ma'mun Sukri, MPH","Jl. Raya Delanggu Utara No. 19, Delanggu, Klaten",3310416,REZA,KAB. KLATEN,,,"ASRI, APT.",Tempat,NINTO
